pos,age,muslim,rel_others,yoruba,igbo,eth_others,nc,nw,se,ss,sw,lat,lng,wealth,urban
0,33,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,136606,1
0,18,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,136606,1
0,26,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,134353,1
0,38,0,0,0,1,0,1,0,0,0,0,7.33442,8.976706,61710,1
0,30,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,-11066,1
0,30,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,165941,1
0,27,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,165941,1
0,28,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,165941,1
0,15,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,165941,1
0,44,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,-13577,1
0,17,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,-13577,1
0,28,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,37522,1
0,21,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,-24608,1
0,35,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,89860,1
0,18,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,89860,1
0,28,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,-70463,1
0,29,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,158321,1
0,41,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,141586,1
0,22,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,141586,1
0,17,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,141586,1
0,18,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,141586,1
0,33,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,17644,1
0,22,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,17644,1
